Mission	Site	Month	Year	Lake.area	Xcoord	Ycoord	African.Black.Swift	African.Darter	African.Fish.Eagle	African.Grey.Hornbill	African.Harrier.Hawk	African.Hawk.Eagle	African.Jacana	African.Marsh.Harrier	African.Mourning.Dove	African.Openbill	African.Palm.Swift	African.Pipit	African.Pygmy.goose	African.Quailfinch	African.Red.eyed.Bulbul	African.Reed.Warbler	African.Sacred.Ibis	African.Snipe	African.Spoonbill	Banded.Martin	Barn.Swallow	Bateleur	Black.Crake	Black.Heron	Black.Kite	Black.chested.Prinia	Black.chested.Snake.Eagle	Black.crowned.Night.Heron	Black.faced.Waxbill	Black.headed.Heron	Black.necked.Grebe	Black.tailed.Godwit	Black.winged.Pratincole	Black.winged.Stilt	Blacksmith.Lapwing	Blue.Waxbill	Blue.cheeked.Bee.eater	Booted.Eagle	Brown.Snake.Eagle	Brown.throated.Martin	Burchells.Sandgrouse	Burchells.Starling	Cape.Shoveler	Cape.Sparrow	Cape.Teal	Cape.Turtle.Dove	Capped.Wheatear	Cattle.Egret	Chestnut.backed.Sparrowlark	Chinspot.Batis	Collared.Pratincole	Comb.Duck	Common.Greenshank	Common.House.Martin	Common.Moorhen	Common.Ringed.Plover	Common.Sandpiper	Common.Swift	Coppery.tailed.Coucal	Crimson.breasted.Shrike	Crowned.Lapwing	Curlew.Sandpiper	Diderick.Cuckoo	Dusky.Lark	Dwarf.Bittern	Egyptian.Goose	European.Bee.eater	Fork.tailed.Drongo	Fulvous.Duck	Gabar.Goshawk	Glossy.Ibis	Goliath.Heron	Great.Crested.Grebe	Great.Egret	Great.Reed.Warbler	Great.Sparrow	Great.White.Pelican	Greater.Flamingo	Greater.Painted.snipe	Green.backed.Heron	Green.winged.Pytilia	Grey.Heron	Grey.backed.Camaroptera	Grey.backed.Sparrowlark	Grey.headed.Gull	Grey.headed.Kingfisher	Grey.rumped.Swallow	Hamerkop	Hottentot.Teal	Kalahari.Scrub.Robin	Kittlitzs.Plover	Lanner.Falcon	Laughing.Dove	Lesser.Flamingo	Lesser.Grey.Shrike	Lesser.Jacana	Lesser.Masked.Weaver	Lesser.Moorhen	Lilac.breasted.Roller	Little.Bee.eater	Little.Bittern	Little.Egret	Little.Grebe	Little.Stint	Long.billed.Crombec	Long.crested.Eagle	Long.tailed.Paradise.Whydah	Long.toed.Lapwing	Malachite.Kingfisher	Marabou.Stork	Marico.Flycatcher	Marico.Sunbird	Marsh.Sandpiper	Marsh.Warbler	Martial.Eagle	Namaqua.Dove	Namaqua.Sandgrouse	Pectoral.Sandpiper	Peregrine.Falcon	Pied.Avocet	Pied.Kingfisher	Pied.Starling	Pin.tailed.Whydah	Pink.backed.Pelican	Purple.Heron	Rattling.Cisticola	Red.backed.Shrike	Red.billed.Firefinch	Red.billed.Oxpecker	Red.billed.Quelea	Red.billed.Spurfowl	Red.billed.Teal	Red.capped.Lark	Red.eyed.Dove	Red.faced.Mousebird	Red.headed.Quelea	Red.knobbed.Coot	Reed.Cormorant	Ruff	Saddle.billed.Stork	Sand.Martin	Scaly.feathered.Finch	Scarlet.chested.Sunbird	Sedge.Warbler	Senegal.Coucal	Shaft.tailed.Whydah	Slaty.Egret	Southern.Grey.headed.Sparrow	Southern.Masked.Weaver	Southern.Pale.Chanting.Goshawk	Southern.Pied.Babbler	Southern.Pochard	Southern.Red.Bishop	Spur.winged.Goose	Squacco.Heron	Swainsons.Spurfowl	Tawny.Eagle	Temmincks.Courser	Three.banded.Plover	Wahlbergs.Eagle	Wattled.Crane	Wattled.Starling	Whiskered.Tern	White.Stork	White.backed.Duck	White.backed.Vulture	White.breasted.Cormorant	White.faced.Duck	White.throated.Swallow	White.winged.Tern	Willow.Warbler	Wood.Sandpiper	Woolly.necked.Stork	Yellow.Wagtail	Yellow.bellied.Eremomela	Yellow.billed.Duck	Yellow.billed.Egret	Yellow.billed.Stork	Yellow.crowned.Bishop	Yellow.throated.Longclaw	Zitting.Cisticola
NGA1	1	10	2007	50	-20.44447412	22.80797786	0	0	0	0	0	0	2.25	0	0	120	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2.666666667	0	0	0	0	0	0	1.5	0	0	0	2	0	1	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4.666666667	0	0	3	0	3.666666666	0	0	2	0	0	0	0	0	0	0	1.666666667	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3.666666667	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4.5	78.25	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.33333333	0	1.666666667	0	0	0	0	0	0	1	0	0	0	0
NGA1	2	10	2007	50	-20.44868611	22.78945603	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3.5	1	2	0	0	0	0	0	2.5	0	0	0	3.5	0	11	0	0	0	42	1	0	1.666666667	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	42.5	0	0	0	0	0	8.666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	11.5	0	3.25	0	0	0	0	0	0	1	0	0	0	0
NGA1	3	10	2007	50	-20.45515048	22.77934201	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	7	0	0	0	2.25	0	19	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2.5	2	0	11	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3.5	41.5	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	12	42	0	1.333333333	0	0	0	0	0	0	0	0	0	0	0
NGA1	4	10	2007	50	-20.45624818	22.76916018	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	9.25	4	0	0	0	0	0	0	1	0	0	0	1.5	0	1	0	0	0	3	1	0	3.333333333	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2.75	3	0	1	0	0	0	0	0	0	1	1.5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.5	25	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	2.75	0	0	0	0	0	0	0	0	0	0	0
NGA1	5	10	2007	50	-20.46220754	22.75528528	0	0	0	0	0	0	0	0	1	115	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11.75	4.5	0	0	0	0	0	42	0	0	0	0	2.25	0	0	0	0	0	2.333333333	1	0	6	0	0	0	0	0	0	22	0	0	0	2.5	0	2	5.333333334	0	9.5	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.75	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	69.75	0	3	0	2.5	0	0	0	0	1	0	0	0	0
NGA1	6	10	2007	50	-20.46827646	22.74672568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.75	14.5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	0	0	0	6	0	0	0	0	14.25	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.5	0	0	0	0	0	1.5	22	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	11	0	1.5	0	0	0	0	1	3	0	0	0
NGA1	7	10	2007	50	-20.44243438	22.79587733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	12	2.75	0	0	0	0	0	0	0	0	0	0	4.5	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2.5	0	2	1	0	5.25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	3.666666667	87.25	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1.5	0	0	0	2	0	0	0	0	0
NGA1	8	10	2007	50	-20.44523679	22.79965983	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.5	8.25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8.75	0	1	0	0	1.666666667	1	0	0	0	0	5	0	0	0	21.66666667	0	0	0	0	2	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	12.25	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	12.5	5.75	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	3.5	0	5.75	0	0	0	0	3	0	0	0	0
NGA1	9	10	2007	50	-20.44443472	22.80798281	0	1.5	0	0	0	0	2	0	0	12	0	0	8	0	0	0	0	0	0	0	1.5	0	0	0	1	0	0	0	1	0	0	0	0	0	1.5	3	0	0	0	0	0	1	0	0	0	2.5	0	1	0	0	0	1	0	0	1.25	0	0	0	0	1	0	0	0	0	0	2	0	1	2.5	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	5	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4.5	120.25	0	0	0	0	1	7.333333333	0	0	0	2	0	0	0	0	0	6	0	0	0	9.25	0	0	3	0	0	0	0	0	0	0	0	0	3.5	0	0	18	0	2	0	0	0	0	0	0	0	2	0	0	0
NGA1	10	10	2007	50	-20.44115094	22.81334865	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1.5	0	3	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	6	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4.666666666	2.5	25	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3	46	0	0	0	0	0	31.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666666	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	8.333333334	0	1.666666667	0	0	0	0	0	0	2	0	0	0	0
