Bird	class	guild
African.Black.Swift	10	10
African.Darter	2	4
African.Fish.Eagle	7	7
African.Grey.Hornbill	10	10
African.Harrier.Hawk	7	7
African.Hawk.Eagle	7	7
African.Jacana	8	2
African.Marsh.Harrier	7	7
African.Mourning.Dove	10	8
African.Openbill	4	3
African.Palm.Swift	10	10
African.Pipit	10	8
African.Pygmy.goose	1	3
African.Quailfinch	10	8
African.Red.eyed.Bulbul	10	8
African.Reed.Warbler	10	8
African.Sacred.Ibis	6	1
African.Snipe	8	2
African.Spoonbill	4	3
Banded.Martin	10	10
Barn.Swallow	10	10
Bateleur	7	7
Black.Crake	8	2
Black.Heron	4	3
Black.Kite	7	7
Black.chested.Prinia	10	8
Black.chested.Snake.Eagle	7	7
Black.crowned.Night.Heron	4	3
Black.faced.Waxbill	10	8
Black.headed.Heron	4	10
Black.necked.Grebe	2	4
Black.tailed.Godwit	5	1
Black.winged.Pratincole	5	5
Black.winged.Stilt	5	1
Blacksmith.Lapwing	5	1
Blue.Waxbill	10	8
Blue.cheeked.Bee.eater	10	10
Booted.Eagle	7	7
Brown.Snake.Eagle	7	7
Brown.throated.Martin	10	10
Burchells.Sandgrouse	10	10
Burchells.Starling	10	8
Cape.Shoveler	1	3
Cape.Sparrow	10	8
Cape.Teal	1	3
Cape.Turtle.Dove	10	8
Capped.Wheatear	10	8
Cattle.Egret	4	1
Chestnut.backed.Sparrowlark	10	8
Chinspot.Batis	10	8
Collared.Pratincole	5	5
Comb.Duck	1	3
Common.Greenshank	5	1
Common.House.Martin	10	8
Common.Moorhen	8	2
Common.Ringed.Plover	5	1
Common.Sandpiper	5	1
Common.Swift	10	10
Coppery.tailed.Coucal	10	10
Crimson.breasted.Shrike	10	10
Crowned.Lapwing	5	1
Curlew.Sandpiper	5	1
Diderick.Cuckoo	10	10
Dusky.Lark	10	8
Dwarf.Bittern	5	2
Egyptian.Goose	3	1
European.Bee.eater	10	10
Fork.tailed.Drongo	10	8
Fulvous.Duck	1	3
Gabar.Goshawk	7	7
Glossy.Ibis	6	1
Goliath.Heron	4	3
Great.Crested.Grebe	2	4
Great.Egret	4	3
Great.Reed.Warbler	10	8
Great.Sparrow	10	8
Great.White.Pelican	2	3
Greater.Flamingo	4	3
Greater.Painted.snipe	8	2
Green.backed.Heron	4	2
Green.winged.Pytilia	10	8
Grey.Heron	4	3
Grey.backed.Camaroptera	10	8
Grey.backed.Sparrowlark	10	8
Grey.headed.Gull	6	6
Grey.headed.Kingfisher	10	10
Grey.rumped.Swallow	10	10
Hamerkop	5	3
Hottentot.Teal	1	3
Kalahari.Scrub.Robin	10	8
Kittlitzs.Plover	5	1
Lanner.Falcon	7	7
Laughing.Dove	10	8
Lesser.Flamingo	4	3
Lesser.Grey.Shrike	10	8
Lesser.Jacana	8	2
Lesser.Masked.Weaver	10	8
Lesser.Moorhen	8	2
Lilac.breasted.Roller	10	10
Little.Bee.eater	10	10
Little.Bittern	5	2
Little.Egret	4	3
Little.Grebe	1	3
Little.Stint	5	1
Long.billed.Crombec	10	8
Long.crested.Eagle	7	7
Long.tailed.Paradise.Whydah	10	8
Long.toed.Lapwing	5	1
Malachite.Kingfisher	9	3
Marabou.Stork	4	6
Marico.Flycatcher	10	8
Marico.Sunbird	10	8
Marsh.Sandpiper	5	1
Marsh.Warbler	10	8
Martial.Eagle	7	7
Namaqua.Dove	10	8
Namaqua.Sandgrouse	10	10
Pectoral.Sandpiper	5	1
Peregrine.Falcon	7	7
Pied.Avocet	5	3
Pied.Kingfisher	9	4
Pied.Starling	10	8
Pin.tailed.Whydah	10	8
Pink.backed.Pelican	2	3
Purple.Heron	4	3
Rattling.Cisticola	10	8
Red.backed.Shrike	10	8
Red.billed.Firefinch	10	8
Red.billed.Oxpecker	10	8
Red.billed.Quelea	10	8
Red.billed.Spurfowl	10	10
Red.billed.Teal	1	3
Red.capped.Lark	10	8
Red.eyed.Dove	10	8
Red.faced.Mousebird	10	8
Red.headed.Quelea	10	8
Red.knobbed.Coot	1	3
Reed.Cormorant	2	4
Ruff	5	1
Saddle.billed.Stork	4	3
Sand.Martin	10	10
Scaly.feathered.Finch	10	8
Scarlet.chested.Sunbird	10	8
Sedge.Warbler	10	8
Senegal.Coucal	10	10
Shaft.tailed.Whydah	10	8
Slaty.Egret	4	3
Southern.Grey.headed.Sparrow	10	8
Southern.Masked.Weaver	10	8
Southern.Pale.Chanting.Goshawk	7	7
Southern.Pied.Babbler	10	8
Southern.Pochard	2	4
Southern.Red.Bishop	10	8
Spur.winged.Goose	3	1
Squacco.Heron	4	3
Swainsons.Spurfowl	10	10
Tawny.Eagle	7	7
Temmincks.Courser	5	1
Three.banded.Plover	5	1
Wahlbergs.Eagle	7	7
Wattled.Crane	4	3
Wattled.Starling	10	8
Whiskered.Tern	9	3
White.Stork	4	3
White.backed.Duck	2	3
White.backed.Vulture	6	6
White.breasted.Cormorant	2	4
White.faced.Duck	1	3
White.throated.Swallow	10	10
White.winged.Tern	9	3
Willow.Warbler	10	8
Wood.Sandpiper	5	1
Woolly.necked.Stork	4	3
Yellow.Wagtail	10	8
Yellow.bellied.Eremomela	10	8
Yellow.billed.Duck	1	3
Yellow.billed.Egret	4	3
Yellow.billed.Stork	4	3
Yellow.crowned.Bishop	10	8
Yellow.throated.Longclaw	10	8
Zitting.Cisticola	10	8
